N,TimeConsumed(μs),MemoryUsed(KB)
1723,1201,2528
1724,1170,2528
1725,1153,2528
1726,1157,2528
1727,1160,2528
1728,1155,2528
1729,1174,2528
1730,1188,2528
1731,1188,2528
1732,1166,2528
1733,1173,2528
1734,1169,2528
1735,1229,2528
1736,1211,2528
1737,1161,2528
1738,1165,2528
1739,1177,2528
1740,1175,2528
1741,1184,2528
1742,1172,2528
1743,1210,2528
1744,1228,2528
1745,1216,2528
1746,1218,2544
1747,1212,2544
1748,1197,2544
1749,1122,2544
1750,1129,2544
1751,1157,2544
1752,1153,2544
1753,1143,2544
1754,1145,2544
1755,1154,2544
1756,1140,2544
1757,1142,2544
1758,1152,2544
1759,1146,2544
1760,1178,2544
1761,1166,2544
1762,1159,2544
1763,1215,2544
1764,1161,2544
1765,1153,2544
1766,1181,2544
1767,1201,2544
1768,1138,2544
1769,1138,2544
1770,1139,2544
1771,1136,2544
1772,1142,2544
1773,1138,2544
1774,1146,2544
1775,1138,2544
1776,1143,2544
1777,1155,2544
1778,1152,2544
1779,1142,2544
1780,1142,2544
1781,1145,2544
1782,1146,2544
1783,1142,2544
1784,1156,2544
1785,1139,2544
1786,1159,2544
1787,1153,2544
1788,1142,2544
1789,1149,2544
1790,1147,2544
1791,1148,2544
1792,1181,2544
1793,1155,2544
1794,1152,2544
1795,1150,2544
1796,1182,2544
1797,1262,2544
1798,1256,2560
1799,1207,2560
1800,1253,2560
1801,1288,2560
1802,1258,2560
1803,1237,2560
1804,1232,2560
1805,1285,2560
1806,1247,2592
1807,1205,2592
1808,1192,2592
1809,1197,2592
1810,1165,2592
1811,1181,2592
1812,1184,2592
1813,1232,2592
1814,1229,2592
1815,1168,2592
1816,1170,2592
1817,1173,2592
1818,1172,2592
1819,1175,2592
1820,1192,2592
1821,1218,2592
